nhpd_id,cousub_name,nhpd_lat,nhpd_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1051458,BOSTON,42.346646,-71.068925,BOSTON,both,1,both,466,8564,both
1050454,BOSTON,42.34598,-71.06935,BOSTON,both,1,both,466,8564,both
1051844,BOSTON,42.345386,-71.069586,BOSTON,both,4,both,4,2261,both
1000354,BOSTON,42.3406,-71.07811,BOSTON,both,1,both,466,8561,both
1051462,BOSTON,42.34015,-71.07944,BOSTON,both,1,both,466,8561,both
1003393,BOSTON,42.33862,-71.08101,BOSTON,both,3,both,8,2707,both
1050424,BOSTON,42.33754,-71.08408,BOSTON,both,3,both,454,8534,both
1051446,BOSTON,42.30083,-71.07775,BOSTON,both,1,both,56,4031,both
1153898,BOSTON,42.312942,-71.053596,BOSTON,both,1,both,263,6713,both
1050335,BOSTON,42.34025,-71.06764,BOSTON,both,3,both,467,8568,both
1051735,BOSTON,42.276702,-71.136908,BOSTON,both,1,both,273,6897,both
1051840,BOSTON,42.342577,-71.072718,BOSTON,both,3,both,467,8571,both
1051375,BOSTON,42.34493,-71.06891,BOSTON,both,4,both,467,8572,both
1023609,BOSTON,42.31633,-71.06806,BOSTON,both,1,both,256,6497,both
1050844,BOSTON,42.34047,-71.0502,BOSTON,both,1,both,354,7736,both
1050377,BOSTON,42.33782,-71.04752,BOSTON,both,1,both,354,7736,both
1011441,BOSTON,42.337837,-71.049539,BOSTON,both,3,both,278,7023,both
1050429,BOSTON,42.34069,-71.07355,BOSTON,both,3,both,467,8571,both
1050985,BOSTON,42.34169,-71.07268,BOSTON,both,3,both,467,8571,both
1050880,BOSTON,42.34234,-71.07319,BOSTON,both,3,both,467,8571,both
1051466,BOSTON,42.34178,-71.07315,BOSTON,both,3,both,467,8571,both
1051684,BOSTON,42.34203,-71.07737,BOSTON,both,3,both,467,8573,both
1052024,BOSTON,42.338912,-71.073978,BOSTON,both,3,both,467,8571,both
1051340,BOSTON,42.37675,-71.0653,BOSTON,both,1,both,281,7057,both
1050824,BOSTON,42.33937,-71.07887,BOSTON,both,3,both,467,8571,both
1050991,BOSTON,42.33291,-71.10644,BOSTON,both,1,both,256,6505,both
1051467,BOSTON,42.297193,-71.085176,BOSTON,both,1,both,57,4060,both
1051671,BOSTON,42.378324,-71.057226,BOSTON,both,1,both,273,6933,both
1050590,BOSTON,42.3419,-71.151649,BOSTON,both,1,both,273,6921,both
1019036,BOSTON,42.34217,-71.15189,BOSTON,both,1,both,273,6921,both
1050373,BOSTON,42.34282,-71.15225,BOSTON,both,1,both,273,6921,both
1147295,BOSTON,42.320086,-71.087412,BOSTON,both,1,both,380,7867,both
1105153,BOSTON,42.31996,-71.08926,BOSTON,both,1,both,9,2711,both
1009977,BOSTON,42.318588,-71.091227,BOSTON,both,1,both,9,2711,both
1052029,BOSTON,42.3126,-71.096138,BOSTON,both,1,both,4,2087,both
1013904,BOSTON,42.311566,-71.09816,BOSTON,both,1,both,266,6751,both
1018984,BOSTON,42.32224,-71.08469,BOSTON,both,1,both,9,2712,both
1050898,BOSTON,42.31592,-71.09644,BOSTON,both,1,both,380,7869,both
