station_id,station_name,line,layer,station_lat,station_lon,geometry,length_m,error
5,Griggs Street,GREEN,MBTA_NODES,42.348819512853055,-71.13436462642305,POINT (-71.13436462642305 42.34881951285305),7205.0,
6,Allston Street,GREEN,MBTA_NODES,42.34857609500267,-71.13763680046425,POINT (-71.13763680046425 42.34857609500267),8235.0,
7,Warren Street,GREEN,MBTA_NODES,42.34862364982648,-71.14024039501022,POINT (-71.14024039501022 42.34862364982648),8358.0,
8,Washington Street,GREEN,MBTA_NODES,42.34412328995517,-71.14254885115989,POINT (-71.14254885115989 42.34412328995517),12013.0,
9,Sutherland Road,GREEN,MBTA_NODES,42.341561497974766,-71.14632990186321,POINT (-71.14632990186321 42.34156149797477),12703.0,
10,Chiswick Road,GREEN,MBTA_NODES,42.34061808283791,-71.15095131525393,POINT (-71.15095131525393 42.34061808283791),12027.0,
11,Chestnut Hill Avenue,GREEN,MBTA_NODES,42.33857776881901,-71.15265529729677,POINT (-71.15265529729677 42.33857776881901),12030.0,
12,South Street,GREEN,MBTA_NODES,42.3394540392699,-71.15726165487304,POINT (-71.15726165487304 42.3394540392699),11897.0,
13,Boston College,GREEN,MBTA_NODES,42.340155438663125,-71.16702496371806,POINT (-71.16702496371806 42.34015543866312),12600.0,
14,Cleveland Circle,GREEN,MBTA_NODES,42.33613671489414,-71.14928663073547,POINT (-71.14928663073547 42.33613671489414),8551.0,
15,Englewood Avenue,GREEN,MBTA_NODES,42.33698480426935,-71.1454983930447,POINT (-71.1454983930447 42.33698480426935),8220.0,
16,Dean Road,GREEN,MBTA_NODES,42.33771433525089,-71.14195534190397,POINT (-71.14195534190397 42.33771433525089),7911.0,
17,Tappan Street,GREEN,MBTA_NODES,42.33851881948178,-71.138441384533,POINT (-71.138441384533 42.33851881948178),7605.0,
18,Washington Square,GREEN,MBTA_NODES,42.339327415868944,-71.13536707673275,POINT (-71.13536707673275 42.33932741586894),7360.0,
